"224.9865 , 136.986 , 161.976","196.9875 , 87.975 , 122.9865","176.9955 , 96.9765 , 121.074","156.978 , 28.9935 , 83.997","124.9755 , 61.9905 , 78.999","125.9955 , 11.985 , 69.9975","82.977 , 37.995 , 60.996","178.9845 , 138.975 , 183.9825","143.9985 , 90.984 , 168.9885","139.995 , 95.982 , 146.982","100.98 , 43.9875 , 124.9755","93.993 , 66.9885 , 99.9855","67.983 , 15.9885 , 89.9895","51.9945 , 31.977 , 59.976","151.98 , 150.9855 , 192.984","113.985 , 113.985 , 201.9855","113.985 , 107.9925 , 146.982","57.987 , 49.98 , 158.9925","78.999 , 72.981 , 108.987","38.9895 , 29.988 , 110.976","23.9955 , 22.9755 , 57.987","134.997 , 162.996 , 201.9855","66.9885 , 122.9865 , 196.9875","95.982 , 122.9865 , 167.994","12.9795 , 79.9935 , 162.996","63.9795 , 89.9895 , 122.9865","2.9835 , 44.982 , 136.986","3.978 , 32.997 , 64.9995","115.9995 , 183.9825 , 195.993","51 , 148.9965 , 183.9825","88.995 , 145.9875 , 162.996","2.9835 , 82.977 , 154.989","47.991 , 40.9785 , 116.994","3.978 , 64.9995 , 111.996","9.996 , 56.9925 , 76.9845","141.984 , 207.978 , 193.9785","65.994 , 167.994 , 154.989","104.9835 , 168.9885 , 153","8.976 , 110.976 , 121.992","54.978 , 116.994 , 103.989","3.978 , 78.999 , 73.9755","10.9905 , 59.976 , 56.9925","163.9905 , 226.9755 , 172.992","95.982 , 193.9785 , 110.976","131.988 , 179.979 , 127.9845","64.9995 , 161.976 , 68.9775","72.981 , 127.9845 , 85.986","32.997 , 116.994 , 39.984","22.9755 , 61.9905 , 31.977","216.9795 , 226.9755 , 106.998","197.982 , 221.9775 , 36.975","174.981 , 190.995 , 90.984","170.9775 , 201.9855 , 1.989","132.9825 , 147.9765 , 42.993","117.9885 , 142.9785 , 0.9945","68.9775 , 85.986 , 7.9815","251.991 , 236.997 , 119.9775","252.9855 , 221.9775 , 42.993","211.9815 , 190.995 , 81.9825","244.9785 , 208.998 , 0.9945","175.9755 , 151.98 , 45.9765","170.9775 , 143.9985 , 2.9835","104.9835 , 90.984 , 20.9865","250.9965 , 200.991 , 141.984","251.991 , 166.9995 , 40.9785","228.99 , 154.989 , 91.9785","255 , 143.9985 , 0","174.981 , 120.9975 , 60.996","172.992 , 100.98 , 1.989","118.983 , 69.9975 , 11.985","250.9965 , 175.9755 , 153","251.991 , 112.9905 , 46.9965","230.979 , 126.99 , 114.9795","232.9935 , 52.989 , 6.987","162.996 , 87.975 , 57.987","165.9795 , 26.979 , 1.989","120.9975 , 41.9985 , 24.99","246.993 , 153.9945 , 161.976","226.9755 , 97.9965 , 100.98","210.987 , 121.992 , 125.9955","218.994 , 11.985 , 39.984","150.9855 , 72.981 , 75.99","155.9835 , 8.976 , 26.979","89.9895 , 29.988 , 31.977","1.989 , 3.978 , 0.9945","41.9985 , 48.9855 , 40.9785","89.9895 , 95.982 , 81.9825","93.993 , 99.9855 , 85.986","126.99 , 130.9935 , 116.994","157.998 , 161.976 , 147.9765","180.999 , 186.9915 , 172.992","216.9795 , 218.994 , 205.989","246.993 , 247.9875 , 241.995",Row.RGB
3.759259259,3.65625,3.222222222,2.047619048,2.2,2.55,2.854166667,4.153846154,4.578947368,4.071428571,4.529411765,4.8,4.769230769,4.685714286,6.117647059,6.476190476,5.380952381,6.12,4.625,5.333333333,5.64516129,5.6,6.1,5.595238095,6.210526316,5.6875,6.235294118,5.477272727,6.3125,6.176470588,5.416666667,6.25,6.125,5.6,5.880952381,6.194444444,5.944444444,5.733333333,5.90625,5.972222222,6.033333333,5.875,6.527777778,6.53125,5.970588235,6.382352941,5.78,5.931818182,6.041666667,5.625,6.066666667,5.227272727,6.25,5.725,6.131578947,5.714285714,5.4375,5.777777778,5.75,4.888888889,5.619047619,5.125,5.066666667,6.0625,5.071428571,4.972222222,5.333333333,4.904761905,4.023809524,4.194444444,3.6875,4.673913043,3.588235294,3.052631579,3.766666667,1.541666667,2.277777778,3.604166667,2.633333333,3.5,2.230769231,2.307692308,0.534482759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"155.9835 , 8.976 , 26.979"
3.1,3.029411765,2.527777778,2.147058824,1.2,2.590909091,3.264705882,4.294117647,3.958333333,3.615384615,4.53125,3.979166667,4.857142857,3.875,4.785714286,4.821428571,4.736842105,5.547619048,4.5625,5.444444444,5.65,5.142857143,5.583333333,4.766666667,5.933333333,5.382352941,4.875,5.386363636,5.823529412,6.263157895,5.964285714,5.333333333,5.833333333,5.75,5.03125,5.9,5.653846154,5.760869565,4.823529412,5.464285714,5,5.5,5.681818182,5.863636364,6.115384615,4.975,5.911764706,6.076923077,5.307692308,5.083333333,5.683333333,6.125,5.631578947,5.538461538,4.973684211,5,5.22,5.727272727,5.5,5.058823529,5.029411765,5.75,5.321428571,4.3,4.666666667,4.5,5.470588235,4.261904762,4,3.928571429,3.568181818,3.944444444,3.473684211,3.625,3.375,2.807692308,2.214285714,3.090909091,3.25,3.458333333,2.588235294,1.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.9855 , 72.981 , 75.99"
3.84375,2.066666667,3.153846154,2.625,2.727272727,2.921052632,3.735294118,5.4,5.09375,4.90625,5.382352941,5.195652174,5.5,5.5,5.236842105,5.441176471,5.617647059,6.633333333,6.25,5.733333333,5.6875,6.055555556,5.933333333,5.772727273,6.315789474,5.966666667,6.380952381,6.421052632,6.133333333,6.107142857,5.933333333,6.210526316,5.928571429,6,5.291666667,6.088235294,6.142857143,5.777777778,5.55,6.625,6.029411765,6.458333333,6.239130435,5.875,6.119047619,5.785714286,5.294117647,6.15625,6.576923077,6.05,6.023809524,5.075,5.4375,5.65,5.975,6,6.25,6.2,5.368421053,5.466666667,5.441176471,5.208333333,5.972222222,4.722222222,4.681818182,3.769230769,4.105263158,4.75,4.318181818,4.25,4.305555556,3.875,3.535714286,1.979166667,4.263157895,2.117647059,3.236842105,3.409090909,2.461538462,3.470588235,1.178571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"218.994 , 11.985 , 39.984"
2.214285714,2.305555556,1.6,2.666666667,2.333333333,3.347826087,4.6,3.476190476,4.475,3.735294118,4.727272727,3.675,4.80952381,5.090909091,3.904761905,4.8,4.903846154,6.239130435,5.107142857,6.027777778,5.625,5.269230769,5.48,5.208333333,5,5.433333333,5.409090909,5.78125,5.53125,5.8125,5.678571429,5.5625,6.088235294,5.447368421,5.5,5.027777778,5.791666667,4.947368421,5.84375,5.5,5.9,6.269230769,5.65625,5.805555556,5.2,5.65,5.431818182,5.733333333,5.891304348,5.473684211,5.75,5.608695652,5.555555556,5.411764706,5.380952381,5.576923077,5.269230769,5.382352941,4.458333333,5.325,5.15625,4.833333333,5.791666667,4.066666667,5.055555556,4.133333333,4.425,4.1875,4.96875,5.541666667,2.659090909,3.794117647,2.434782609,3.275,4.1875,3.710526316,3.53125,1.891304348,2.21875,0.535714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"210.987 , 121.992 , 125.9955"
2.294117647,2.357142857,2,2.5,2.958333333,3.857142857,3.75,4.119047619,4.404761905,3.625,4.46875,5.035714286,4.588235294,5.525,4.205882353,5.066666667,5.25,6.071428571,5.3,5.5,6.4,4.75,5.966666667,5.5,5.75,4.9,6.178571429,6.15625,5.088235294,5.675,5.711538462,6.260869565,5.583333333,6.375,6.289473684,5.095238095,5.111111111,5.795454545,5.6,5.95,6.173076923,6.125,6.166666667,5.8125,4.866666667,6.066666667,5.416666667,6.157894737,6.041666667,5.352941176,5.934782609,5.590909091,5.25,6.0625,5.916666667,5.833333333,4.909090909,5.666666667,4.818181818,5.619047619,5.409090909,5.033333333,5.979166667,4.035714286,4.323529412,4.125,4.227272727,4.266666667,4.705882353,5.3,3.333333333,3.0625,2.105263158,2.8,4.533333333,3.181818182,3.520833333,2.75,0.907407407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"226.9755 , 97.9965 , 100.98"
0.666666667,2.192307692,2.05,3.941176471,3.5,3.1875,4.285714286,2.966666667,3.736842105,3.966666667,4.833333333,4.307692308,5,5.277777778,3.282608696,4.76,4.941176471,5,4.676470588,5,6.15625,4.625,5.233333333,4.464285714,5.84375,5.789473684,6.263157895,5.75,5,6.131578947,4.777777778,6.176470588,5.840909091,5.977272727,5.952380952,5.205882353,4.833333333,5.409090909,5.869565217,5.675,5.904761905,6.1875,4.815789474,5.208333333,5.894736842,5.970588235,6.363636364,6,6.40625,5.340909091,5.8,5.184210526,5.535714286,5.714285714,6.181818182,6.205882353,4.857142857,5.625,5.666666667,5.233333333,5.095238095,4.638888889,6.05,3.214285714,3.571428571,3.416666667,4.785714286,4.807692308,5.5,5.346153846,2.433333333,4.4375,2.7,4.4,5.083333333,3.333333333,4.142857143,1.238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"246.993 , 153.9945 , 161.976"
4.033333333,3.5,3.5625,2.75,2.470588235,3.666666667,2.684210526,5.1875,5.058823529,4.975,5.078947368,4.6,4.730769231,3.441176471,5.588235294,5.192307692,5.088235294,5.821428571,5.7,5.625,4.941176471,5.382352941,4.7,6.192307692,5.547619048,5.833333333,5.75,4.411764706,6.184210526,5.916666667,6.583333333,5.368421053,5.409090909,5.4375,5.333333333,6.153846154,6.176470588,5.75,5.208333333,5.294117647,5.815789474,5.88,5.323529412,6.038461538,5.38,6.133333333,6.1875,6.117647059,5.9,6.2,5.552631579,5.975,6.416666667,5.557692308,5.466666667,5.52173913,5.472222222,5.763157895,5.625,5.416666667,5.238095238,4.866666667,4.941176471,4.916666667,4.868421053,3.823529412,4.6875,4.64,3.227272727,3.166666667,4.361111111,3.305555556,3.291666667,2.944444444,2.615384615,2.375,1.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.9975 , 41.9985 , 24.99"
3.736842105,3,2.818181818,1.433333333,3.222222222,2.933333333,4.642857143,5.047619048,5.09375,5.566666667,5.476190476,5.25,4.852941176,5.159090909,5.8125,6.21875,5.5,6.260869565,5.425,5.9375,5.777777778,6.5,5.659090909,5.807692308,6.078947368,5.333333333,6.441176471,6.125,6.214285714,6,6,6.125,6.071428571,5.730769231,5.647058824,5.80952381,6.40625,5.785714286,5.166666667,5.625,5.25,6.34375,5.607142857,6.088235294,6.428571429,6.727272727,5.818181818,6.46875,6.192307692,5.264705882,5.78125,5.928571429,6.368421053,5.766666667,5.785714286,6.026315789,5.617647059,6.131578947,5.739130435,5.45,5.795454545,5.083333333,5.423076923,5,4.25,4.184210526,4.475,4.333333333,3.766666667,4.375,4.3,3.769230769,4.15,2.117647059,2.970588235,0.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165.9795 , 26.979 , 1.989"
4.157894737,3.75,4.117647059,3.9,3.105263158,3.722222222,4.3125,5.535714286,5.34375,5.125,5.125,5.078947368,5.227272727,4.5,5.130434783,5.71875,5.14,6.052631579,5.583333333,5.775,5.404761905,5.464285714,5.84,4.973684211,5.777777778,5.173913043,5.411764706,5.76,5.714285714,5.428571429,5.880952381,5,5.694444444,5.117647059,5.5,5.894736842,5.722222222,5.766666667,5.590909091,5.772727273,5.40625,5.294117647,6.125,6.052631579,5.75,5.956521739,5.466666667,5.861111111,6,5.5,5,5.8125,5.65,5.1875,6.1,5.235294118,4.954545455,4.305555556,4.391304348,5.25,3.695652174,4.25,3.588235294,3.533333333,3.571428571,2.892857143,3.153846154,2.321428571,1.895833333,2.366666667,3.392857143,2.75,3.264705882,4,0.543478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162.996 , 87.975 , 57.987"
4.125,2.821428571,3.411764706,3.46875,3.333333333,3.727272727,4.517857143,5.441176471,5.625,5.533333333,5.65,4.866666667,6.071428571,5.692307692,5.911764706,5.53125,6.086956522,5.875,5.708333333,6.192307692,5.892857143,6.294117647,6.236842105,6.035714286,6.09375,6,5.923076923,6,6.466666667,6.214285714,5.933333333,6.214285714,6.375,5.772727273,5.736842105,5.842105263,6.21875,5.9,6.5,5.684210526,6.392857143,6.428571429,6.25,6.047619048,5.941176471,6.735294118,6.147058824,6.033333333,6.033333333,5.952380952,5.95,6.125,5.272727273,5.611111111,5.411764706,5.78,5.75,5.375,4.5625,5.083333333,5.65,4.090909091,5.875,4.766666667,4.428571429,3.3,3.333333333,3.958333333,3.785714286,4.5,3.475,2.571428571,3.066666667,1.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232.9935 , 52.989 , 6.987"
